id,title,company,city,category,salary_min,salary_max,experience,education,skills,tags,benefits,description,publish_date
J001,高级前端工程师,星澜科技,北京,前端工程师,30,50,3-5年,本科,TypeScript|React|Node.js|性能优化,独角兽|技术驱动,六险一金|期权激励|弹性工作,"【岗位职责】
1. 负责核心业务线前端架构设计与通用组件库建设，支撑 10+ 业务方接入
2. 主导首屏性能优化与监控体系建设，持续改善核心 Web Vitals 指标
3. 参与前端工程化与 CI/CD 流水线建设，提升团队交付效率
4. 与产品、设计、后端紧密协作，推动复杂交互需求高质量落地
【任职要求】
1. 本科及以上学历，计算机相关专业，3 年以上前端开发经验
2. 精通 React 生态（Hooks/状态管理/SSR），有大型中后台或 C 端项目经验
3. 具备性能优化实战经验，熟悉浏览器渲染原理与网络协议
4. 良好的抽象与沟通能力，有组件库/工具链建设经验者优先
【技术要求】
1. 精通 TypeScript 与 React 18+，熟悉 Next.js 优先
2. 熟练使用 Webpack/Vite 等构建工具并理解其原理
3. 掌握 Node.js，能独立开发 BFF 层或工程化脚本
4. 了解微前端、低代码等前沿方向者加分",2026-08-02
J002,前端工程师（React 方向）,云脉智能,上海,前端工程师,18,30,1-3年,本科,React|TypeScript|Webpack|Ant Design,B 轮|快速成长,五险一金|年度体检|餐补,"【岗位职责】
1. 参与 SaaS 协作平台前端迭代开发，负责多个核心模块
2. 与设计师共建设计规范，落地 Design Token 体系
3. 编写单元测试与组件文档，保障代码质量
【任职要求】
1. 1 年以上前端经验，扎实的 JavaScript/ES6+ 基础
2. 熟悉 React 与常见状态管理方案，了解 TypeScript
3. 有 Ant Design 或自研组件库使用经验
4. 自驱力强，乐于在快速迭代环境中成长
【技术要求】
1. 熟悉 React Hooks 与函数式组件心智模型
2. 掌握 Webpack 基本配置与调试技巧
3. 了解 RESTful 规范与常见前端安全实践",2026-07-28
J003,资深前端工程师（可视化）,深瞳数据,杭州,前端工程师,35,55,5年以上,本科,Vue|ECharts|WebGL|Canvas,上市公司|数据赛道,股票期权|免费三餐|补充医疗,"【岗位职责】
1. 负责数据可视化平台与指挥中心大屏项目的架构与研发
2. 攻克海量数据渲染性能、复杂交互与动效难题
3. 沉淀可视化组件库与图表配置协议，赋能业务团队
【任职要求】
1. 5 年以上前端经验，2 年以上可视化方向深耕
2. 有 WebGL/Three.js 或大规模 Canvas 渲染实战经验
3. 熟悉图形学基础与渲染管线者优先
4. 具备跨团队技术方案推动能力
【技术要求】
1. 精通 ECharts/AntV 体系并理解其渲染原理
2. 熟练使用 WebGL（Three.js/Deck.gl 任一）
3. 掌握 Vue3 组合式 API 与工程化体系
4. 了解 GIS 或时序数据可视化者加分",2026-08-04
J004,前端实习生,光合网络,深圳,前端工程师,6,9,应届可,不限,JavaScript|Vue|CSS|Git,初创|氛围好,转正机会|导师带教|下午茶,"【岗位职责】
1. 参与营销活动页与中后台模块开发
2. 学习组件化开发、代码评审与前端规范
3. 协助修复线上问题并完善文档
【任职要求】
1. 本科及以上在读，计算机或设计相关专业
2. 熟悉 HTML/CSS/JavaScript 基础
3. 每周可实习 4 天以上，实习期 3 个月+
4. 对前端有热情，有良好的自学习惯
【技术要求】
1. 了解 Vue 基础语法与组件概念
2. 掌握 Git 基本协作流程
3. 有个人项目或开源贡献者优先",2026-07-21
J005,后端工程师（Go 方向）,星澜科技,北京,后端工程师,28,45,3-5年,本科,Go|微服务|MySQL|Redis,独角兽|高并发,六险一金|期权激励|弹性工作,"【岗位职责】
1. 负责高并发交易链路的服务端设计与性能优化
2. 参与微服务治理、服务降级与全链路压测
3. 建设通用中间件与研发脚手架，提升团队效率
【任职要求】
1. 3 年以上后端经验，精通 Go 语言与并发模型
2. 熟悉分布式系统常见难题：一致性、幂等、分布式事务
3. 有亿级流量系统优化经验者优先
4. 良好的故障排查与 On-call 意识
【技术要求】
1. 精通 Go（gin/kratos 任一框架）
2. 熟练使用 MySQL/Redis 并理解索引与缓存设计
3. 熟悉 Kafka/RocketMQ 等消息中间件
4. 了解 Kubernetes 与云原生部署体系",2026-08-01
J006,Java 后端开发工程师,恒域金融,上海,后端工程师,22,38,1-3年,本科,Java|Spring Cloud|MySQL|Kafka,金融牌照|稳定,七险一金|年终奖|班车,"【岗位职责】
1. 负责支付清结算核心系统的开发与迭代
2. 参与对账、风控等模块的稳定性建设
3. 编写设计文档与单元测试，参与代码评审
【任职要求】
1. 1 年以上 Java 后端经验，基础扎实（集合/并发/JVM）
2. 熟悉 Spring Boot/Spring Cloud 生态
3. 有金融或交易系统经验者优先
4. 严谨细致，对数据一致性有敬畏心
【技术要求】
1. 精通 Java 8+ 与常用设计模式
2. 熟练使用 MySQL 事务与锁机制
3. 熟悉 Kafka 消息可靠性保障方案
4. 了解分布式 ID、幂等设计等常见方案",2026-07-30
J007,资深后端工程师（Python 方向）,灵析智能,杭州,后端工程师,30,50,3-5年,本科,Python|FastAPI|PostgreSQL|Docker,AI 创业|扁平,期权|远程友好|学习基金,"【岗位职责】
1. 负责 AI 应用平台后端 API 与任务调度系统建设
2. 设计多租户计量计费与配额管理体系
3. 优化推理任务编排，降低 GPU 资源成本
【任职要求】
1. 3 年以上 Python 后端经验，熟悉异步编程
2. 有 FastAPI/Django 生产项目经验
3. 熟悉 PostgreSQL 建模与查询优化
4. 对 AI 基础设施（推理/向量库）有兴趣
【技术要求】
1. 精通 Python 3.10+ 与 asyncio
2. 熟练使用 FastAPI + SQLAlchemy/SQLModel
3. 掌握 Docker 与基本 CI/CD 实践
4. 了解 Celery/Ray 等任务调度框架者加分",2026-08-03
J008,后端开发实习生（Node.js）,光合网络,深圳,后端工程师,5,8,应届可,不限,Node.js|Express|MongoDB|Git,初创|氛围好,转正机会|导师带教|下午茶,"【岗位职责】
1. 参与内部效率工具后端接口开发
2. 协助编写接口文档与自动化脚本
3. 参与需求评审与每日站会
【任职要求】
1. 本科及以上在读，计算机相关专业
2. 了解 Node.js 与基本 HTTP 知识
3. 每周实习 4 天以上，可长期实习
4. 好学、靠谱、有闭环意识
【技术要求】
1. 了解 Express/Koa 任一框架
2. 熟悉 MongoDB 基本 CRUD
3. 掌握 Git 协作流程",2026-07-19
J009,大模型算法工程师,星澜科技,北京,大模型算法,45,75,3-5年,硕士,PyTorch|LLM|RLHF|RAG,独角兽|大模型,六险一金|顶会报销|算力自由,"【岗位职责】
1. 负责对话大模型的 SFT 与 RLHF 全流程优化
2. 搭建高质量数据管线与评测体系，持续提升模型效果
3. 跟踪学术前沿并快速复现验证，推动成果落地
【任职要求】
1. 硕士及以上，计算机/数学/统计相关专业
2. 3 年以上算法经验，至少 1 年大模型方向
3. 熟悉 Transformer 结构与主流开源模型
4. 有顶会论文或知名比赛名次者优先
【技术要求】
1. 精通 PyTorch，熟悉 DeepSpeed/Megatron 等训练框架
2. 掌握 SFT/RLHF/DPO 等对齐技术与实践经验
3. 熟悉 RAG 架构与向量检索优化
4. 良好的工程能力，能独立完成实验闭环",2026-08-05
J010,大模型应用工程师（Agent 方向）,灵析智能,杭州,大模型算法,35,60,1-3年,本科,LLM|Agent|Prompt|RAG,AI 创业|扁平,期权|远程友好|学习基金,"【岗位职责】
1. 设计与落地多 Agent 协作框架，服务复杂业务任务
2. 建设 Prompt 工程体系与效果评测闭环
3. 优化 RAG 检索质量，解决幻觉与知识更新问题
【任职要求】
1. 1 年以上 LLM 应用开发经验，有完整落地项目
2. 熟悉主流 Agent 框架（LangChain/LlamaIndex 等）原理
3. 优秀的抽象设计与问题拆解能力
4. 对 AI 产品有热情，关注行业最新动态
【技术要求】
1. 熟练掌握 Python 与至少一门 LLM API 生态
2. 掌握向量数据库（Milvus/FAISS 等）调优
3. 熟悉函数调用、结构化输出等工程实践
4. 有 MCP/工具生态建设经验者加分",2026-08-04
